times,Temp,Units
2008-06-01 16:00:00,63.15,F
2008-06-01 16:30:00,63.23,F
2008-06-01 17:00:00,63.14,F
2008-06-01 17:30:00,63.25,F
2008-06-01 18:00:00,63.17,F
2008-06-01 18:30:00,63.13,F
2008-06-01 19:00:00,63.11,F
2008-06-01 19:30:00,63.07,F
2008-06-01 20:00:00,63.01,F
2008-06-01 20:30:00,62.94,F
2008-06-01 21:00:00,62.89,F
2008-06-01 21:30:00,62.82,F
2008-06-01 22:00:00,62.74,F
2008-06-01 22:30:00,62.62,F
2008-06-01 23:00:00,62.46,F
2008-06-01 23:30:00,62.33,F
2008-06-02 00:00:00,62.13,F
2008-06-02 00:30:00,61.96,F
2008-06-02 01:00:00,61.85,F
2008-06-02 01:30:00,61.74,F
2008-06-02 02:00:00,61.63,F
2008-06-02 02:30:00,61.59,F
2008-06-02 03:00:00,61.46,F
2008-06-02 03:30:00,61.37,F
2008-06-02 04:00:00,61.32,F
2008-06-02 04:30:00,61.3,F
2008-06-02 05:00:00,61.27,F
2008-06-02 05:30:00,61.26,F
2008-06-02 06:00:00,61.44,F
2008-06-02 06:30:00,61.63,F
2008-06-02 07:00:00,61.9,F
2008-06-02 07:30:00,62.13,F
2008-06-02 08:00:00,62.36,F
2008-06-02 08:30:00,62.78,F
2008-06-02 09:00:00,63.2,F
2008-06-02 09:30:00,63.37,F
2008-06-02 10:00:00,63.67,F
2008-06-02 10:30:00,63.89,F
2008-06-02 11:00:00,64.2,F
2008-06-02 11:30:00,64.56,F
2008-06-02 12:00:00,64.77,F
2008-06-02 12:30:00,64.86,F
2008-06-02 13:00:00,64.98,F
2008-06-02 13:30:00,65.32,F
2008-06-02 14:00:00,65.54,F
2008-06-02 14:30:00,65.65,F
2008-06-02 15:00:00,65.48,F
2008-06-02 15:30:00,65.45,F
2008-06-02 16:00:00,65.51,F
2008-06-02 16:30:00,65.27,F
2008-06-02 17:00:00,65.16,F
2008-06-02 17:30:00,65.19,F
2008-06-02 18:00:00,65.06,F
2008-06-02 18:30:00,64.92,F
2008-06-02 19:00:00,64.87,F
2008-06-02 19:30:00,64.7,F
