times,Units,value_mean,value_std,parameter,location
2016-12-24,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-25,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-26,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-27,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-28,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-29,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-30,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-12-31,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-01,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-02,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-03,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-04,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-05,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-06,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-07,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-08,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-09,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-10,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-11,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-12,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-13,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-14,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-15,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-16,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-17,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-18,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-19,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-20,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-21,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-22,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-23,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-24,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-25,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-26,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-27,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-28,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-29,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-30,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-01-31,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-01,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-02,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-03,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-04,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-05,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-06,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-07,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-08,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-09,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-10,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-11,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-12,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-13,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-14,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-15,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-16,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-17,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-18,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-19,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-20,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-21,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-22,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-23,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-24,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-25,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-26,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-27,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-02-28,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-01,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-02,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-03,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-04,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-05,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-06,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-07,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-08,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-09,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-10,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-11,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-12,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-13,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-14,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-15,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-16,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-17,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-18,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-19,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-20,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-21,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-22,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-23,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-24,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-25,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-26,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-27,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-28,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-29,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-30,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-03-31,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-04-01,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-04-02,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-04-03,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-04-04,mg/L,,,Dissolved_Oxygen,Surface_Data
2017-04-05,mg/L,,,Dissolved_Oxygen,Surface_Data
